Version,Set,Item1,Item2,Item3,Item4,Item5
10,5,25,16,12,8,23
10,6,2,38,3,7,31
10,7,17,22,34,28,30
10,8,37,21,18,39,16
10,9,24,35,20,11,32
10,10,6,2,33,40,23
10,11,37,8,13,15,10
10,12,31,5,30,29,18
10,13,4,36,1,9,25
10,14,7,26,19,34,15
10,15,32,28,31,17,11
10,16,21,24,27,40,35
10,17,12,10,29,14,9
10,18,13,19,32,23,3
11,1,5,36,31,21,6
11,2,25,30,2,10,22
11,3,12,17,27,26,37
11,4,20,24,34,23,38
11,5,4,6,8,11,1
11,6,35,39,7,28,13
11,7,18,32,33,19,29
11,8,9,3,40,14,25
11,9,10,31,37,6,34
11,10,8,38,21,28,20
11,11,39,29,16,4,19
11,12,35,23,36,30,14
11,13,33,1,10,27,7
11,14,15,34,5,11,12
11,15,31,40,26,32,2
11,16,17,4,24,13,18
11,17,29,14,28,27,3
11,18,22,15,9,16,37
12,1,24,39,40,36,8
12,2,30,20,16,13,27
12,3,7,37,38,9,32
12,4,23,24,15,31,33
12,5,21,25,14,1,34
12,6,28,12,22,36,40
12,7,19,8,35,17,10
12,8,29,26,11,18,24
12,9,30,33,20,3,6
12,10,4,38,27,22,35
12,11,11,23,39,7,21
12,12,37,36,1,2,28
12,13,16,17,15,5,32
12,14,8,12,25,18,31
12,15,26,9,14,33,13
12,16,34,7,30,29,4
12,17,1,10,23,19,40
12,18,3,2,6,39,5
13,1,11,27,2,25,17
13,2,39,31,22,33,1
13,3,32,14,4,24,28
13,4,18,35,34,9,20
13,5,16,3,26,8,23
13,6,25,13,36,15,29
13,7,5,40,24,22,7
13,8,38,19,12,21,30
13,9,6,9,13,31,27
13,10,3,4,37,35,5
13,11,10,11,40,20,18
13,12,1,29,32,21,12
13,13,34,33,8,2,35
13,14,14,30,17,26,39
13,15,22,37,19,20,25
13,16,23,5,10,28,38
13,17,36,16,7,12,6
13,18,2,18,21,3,15
14,1,22,21,23,37,26
14,2,16,17,1,6,38
14,3,40,13,29,34,2
14,4,12,15,3,4,7
14,5,20,25,32,39,35
14,6,26,11,36,10,33
14,7,38,31,18,19,14
14,8,40,34,17,30,8
14,9,21,28,15,27,9
14,10,10,6,37,24,39
14,11,5,1,35,26,19
14,12,31,20,4,12,2
14,13,8,7,3,13,36
14,14,30,25,24,5,16
14,15,14,37,20,38,29
14,16,33,23,28,18,9
14,17,27,19,34,32,24
14,18,13,22,5,14,11
15,1,6,2,29,23,13
15,2,15,4,30,39,14
15,3,33,38,36,22,32
15,4,17,3,1,18,24
15,5,35,12,10,16,2
15,6,28,6,26,7,20
15,7,11,30,31,40,27
15,8,23,19,12,37,25
15,9,36,18,9,7,21
15,10,34,22,28,39,16
15,11,29,8,23,31,27
15,12,4,5,18,32,6
15,13,15,35,13,17,19
15,14,38,7,25,40,1
15,15,5,34,33,8,9
15,16,20,10,2,14,26
15,17,37,24,11,3,21
15,18,13,32,8,1,12
16,1,20,27,32,10,3
16,2,25,12,18,31,34
16,3,19,28,13,4,40
16,4,39,20,21,5,8
16,5,27,22,6,12,17
16,6,1,15,10,30,36
16,7,2,35,7,11,32
16,8,24,26,31,29,28
16,9,18,14,22,34,37
16,10,38,15,27,25,8
16,11,13,20,16,33,24
16,12,9,3,19,2,30
16,13,1,14,5,36,23
16,14,7,10,17,29,37
16,15,4,21,34,6,22
16,16,32,40,15,26,31
16,17,25,39,3,33,11
16,18,16,9,38,35,23
17,1,12,28,5,30,33
17,2,17,16,14,4,11
17,3,7,25,22,8,26
17,4,9,40,35,37,29
17,5,34,31,13,38,36
17,6,24,21,2,15,30
17,7,27,32,39,23,18
17,8,10,5,25,28,4
17,9,6,11,19,20,1
17,10,29,17,38,33,2
17,11,40,16,21,32,3
17,12,22,31,35,10,24
17,13,18,37,28,6,15
17,14,3,34,39,26,1
17,15,14,8,12,38,9
17,16,19,27,7,36,33
17,17,30,23,20,22,13
17,18,11,15,29,3,31
18,1,10,9,16,34,32
18,2,26,13,12,11,38
18,3,37,39,31,19,5
18,4,35,21,14,6,25
18,5,8,27,4,1,28
18,6,23,7,24,9,17
18,7,3,26,22,19,16
18,8,39,33,18,13,40
18,9,32,30,36,25,37
18,10,15,29,1,35,22
18,11,28,34,11,23,20
18,12,7,2,27,5,14
18,13,33,4,38,21,10
18,14,31,1,20,12,17
18,15,2,36,8,16,18
18,16,29,24,6,30,39
18,17,28,35,40,3,12
18,18,36,4,26,27,15
19,1,1,29,16,13,5
19,2,14,18,33,12,35
19,3,20,36,15,24,23
19,4,39,38,7,10,30
19,5,21,5,17,32,19
19,6,2,11,22,28,31
19,7,35,6,9,36,26
19,8,34,16,25,17,7
19,9,4,12,23,15,39
19,10,6,37,3,27,33
19,11,21,40,14,29,13
19,12,18,8,30,35,11
19,13,32,9,28,31,16
19,14,25,26,27,24,12
19,15,40,10,23,4,34
19,16,38,1,37,2,18
19,17,9,3,21,22,20
19,18,8,14,33,24,19
20,1,11,6,32,7,8
20,2,31,25,21,16,35
20,3,24,38,5,34,3
20,4,37,13,9,27,10
20,5,22,30,19,40,12
20,6,33,15,29,23,14
20,7,39,28,2,1,26
20,8,36,18,4,20,17
20,9,16,23,6,19,38
20,10,13,2,37,21,8
20,11,1,24,40,25,9
20,12,27,22,39,32,29
20,13,15,17,35,33,34
20,14,12,5,10,11,36
20,15,28,7,30,14,3
20,16,26,6,31,18,4
20,17,5,20,40,38,27
20,18,17,39,2,9,15
21,1,20,19,33,15,28
21,2,40,2,36,6,14
21,3,3,4,25,22,13
21,4,23,34,11,27,1
21,5,19,31,10,39,21
21,6,17,26,30,5,8
21,7,32,33,20,12,37
21,8,38,28,35,36,24
21,9,29,9,19,4,7
21,10,16,39,11,14,25
21,11,30,32,13,6,34
21,12,18,10,8,29,3
21,13,37,23,26,5,35
21,14,11,38,9,17,22
21,15,15,7,16,18,40
21,16,12,21,24,2,27
21,17,31,33,1,30,4
21,18,5,9,15,8,6
22,1,7,13,39,20,35
22,2,27,14,17,37,40
22,3,6,25,28,10,24
22,4,30,29,26,16,38
22,5,36,18,5,13,22
22,6,21,32,1,35,7
22,7,8,11,4,40,33
22,8,23,12,3,9,31
22,9,34,20,25,2,19
22,10,14,32,38,39,15
22,11,36,24,37,4,16
22,12,18,27,5,23,7
22,13,19,8,17,31,28
22,14,10,22,11,15,2
22,15,33,37,6,12,34
22,16,25,30,29,21,23
22,17,9,3,26,17,36
22,18,24,22,14,1,19
23,1,20,36,34,14,29
23,2,22,8,24,7,33
23,3,6,17,13,28,21
23,4,4,2,23,38,32
23,5,35,16,27,30,10
23,6,26,40,7,34,12
23,7,1,19,18,39,36
23,8,13,31,24,37,11
23,9,26,15,32,3,25
23,10,35,28,38,18,29
23,11,39,23,8,40,20
23,12,2,25,33,16,5
23,13,9,1,28,37,30
23,14,15,35,27,22,4
23,15,17,14,23,31,10
23,16,29,21,12,11,39
23,17,5,3,9,19,6
23,18,8,38,13,25,15
24,1,25,27,20,38,17
24,2,28,36,2,34,21
24,3,32,24,40,29,19
24,4,7,1,31,17,37
24,5,21,33,10,26,38
24,6,30,13,27,9,18
24,7,24,39,32,12,14
24,8,23,35,1,5,25
24,9,11,26,6,33,20
24,10,10,40,39,15,22
24,11,27,34,29,8,9
24,12,2,30,3,7,23
24,13,4,19,37,11,14
24,14,31,6,15,36,16
24,15,13,12,17,35,5
24,16,22,25,18,28,32
24,17,38,7,34,11,31
24,18,16,20,8,3,4
25,1,8,6,38,10,1
25,2,28,26,23,39,27
25,3,40,5,21,37,15
25,4,30,29,36,25,11
25,5,7,10,19,13,24
25,6,32,31,35,8,2
25,7,14,18,16,1,26
25,8,3,17,33,40,6
25,9,37,23,22,21,36
25,10,12,38,4,34,30
25,11,10,20,16,24,5
25,12,27,19,14,6,35
25,13,9,37,31,25,39
25,14,15,11,21,17,18
25,15,19,8,30,26,22
25,16,29,4,7,33,28
25,17,34,1,3,32,13
25,18,12,2,22,20,9
26,1,11,16,40,2,27
26,2,21,9,20,26,14
26,3,33,29,5,31,22
26,4,37,3,12,28,8
26,5,19,35,39,36,38
26,6,6,18,24,40,23
26,7,34,10,15,7,16
26,8,1,13,2,4,26
26,9,33,30,32,23,17
26,10,35,37,29,3,20
26,11,18,15,19,28,12
26,12,24,14,34,5,8
26,13,39,17,6,4,25
26,14,30,27,11,1,21
26,15,22,16,36,9,13
26,16,26,32,12,29,10
26,17,14,7,25,20,30
26,18,3,36,31,38,40
27,1,16,28,39,13,33
27,2,31,4,30,35,20
27,3,5,22,7,12,6
27,4,18,38,14,10,3
27,5,23,21,16,2,19
27,6,36,33,8,27,1
27,7,40,35,26,37,34
27,8,4,11,9,32,5
27,9,2,17,6,24,29
27,10,13,39,3,27,31
27,11,20,12,1,15,7
27,12,17,11,10,22,28
27,13,38,24,37,36,32
27,14,25,34,18,19,29
27,15,21,5,2,8,39
27,16,9,40,28,14,13
27,17,26,24,4,30,15
27,18,25,33,35,23,11
28,1,38,21,19,4,27
28,2,6,39,30,11,3
28,3,31,32,15,14,34
28,4,12,36,29,16,1
28,5,24,8,9,35,10
28,6,7,37,21,33,2
28,7,5,28,25,30,40
28,8,17,18,20,39,34
28,9,13,22,23,11,26
28,10,19,10,36,2,32
28,11,40,9,4,1,25
28,12,27,16,7,18,37
28,13,35,14,24,3,12
28,14,33,5,15,13,38
28,15,22,6,20,31,8
28,16,29,26,28,21,17
28,17,32,40,1,18,23
28,18,39,33,35,9,16
29,1,28,27,34,3,36
29,2,37,30,17,5,2
29,3,29,23,10,9,6
29,4,13,14,8,25,7
29,5,16,22,32,21,33
29,6,18,20,11,38,40
29,7,4,34,1,24,35
29,8,2,31,26,19,39
29,9,8,15,12,37,23
29,10,3,25,24,7,21
29,11,20,32,27,26,5
29,12,15,1,38,6,28
29,13,34,4,22,29,39
29,14,10,13,18,12,30
29,15,14,17,40,16,19
29,16,36,2,33,31,9
29,17,11,7,28,32,35
29,18,1,39,5,10,37
30,1,39,8,38,17,24
30,2,15,19,37,20,11
30,3,10,28,27,14,33
30,4,2,3,22,1,29
30,5,9,26,32,8,18
30,6,34,21,13,35,6
30,7,17,4,36,23,12
30,8,28,29,8,20,16
30,9,27,15,25,2,24
30,10,26,35,37,22,40
30,11,23,19,7,13,31
30,12,1,29,11,5,14
30,13,16,12,18,6,4
30,14,21,9,33,34,30
30,15,25,10,3,32,17
30,16,5,40,39,7,36
30,17,20,13,14,2,4
30,18,31,30,16,24,38
31,1,30,36,35,15,8
31,2,38,25,26,33,18
31,3,37,6,13,39,32
31,4,11,34,23,16,3
31,5,7,12,27,29,9
31,6,14,30,17,22,1
31,7,10,36,31,40,20
31,8,8,5,4,19,21
31,9,24,16,26,37,28
31,10,6,2,7,38,22
31,11,12,31,35,39,25
31,12,11,27,17,36,13
31,13,3,19,40,29,15
31,14,23,20,14,21,24
31,15,34,5,2,28,18
31,16,32,7,30,26,4
31,17,19,38,9,12,11
31,18,40,33,21,10,1
32,1,22,15,24,20,9
32,2,28,23,29,38,37
32,3,4,3,34,10,26
32,4,35,18,2,30,40
32,5,22,12,21,27,31
32,6,36,37,6,25,14
32,7,33,24,19,34,17
32,8,15,39,23,16,7
32,9,3,1,20,5,31
32,10,12,40,11,32,8
32,11,13,24,36,18,21
32,12,30,6,19,25,27
32,13,4,9,10,34,37
32,14,7,35,1,26,38
32,15,18,3,33,22,39
32,16,23,28,12,8,2
32,17,29,17,5,27,32
32,18,6,11,13,14,16
33,1,25,4,22,38,5
33,2,26,24,40,9,2
33,3,8,34,39,11,1
33,4,12,20,16,17,30
33,5,21,10,15,35,29
33,6,23,31,18,27,6
33,7,37,13,32,19,33
33,8,14,7,28,3,36
33,9,38,2,39,24,12
33,10,16,29,4,31,40
33,11,30,32,34,6,15
33,12,1,25,9,28,19
33,13,17,18,37,7,20
33,14,33,11,12,36,26
33,15,35,23,5,13,3
33,16,27,8,22,14,10
33,17,20,25,6,26,21
33,18,5,14,30,31,9
34,1,20,27,37,1,34
34,2,31,33,25,15,13
34,3,29,26,8,39,18
34,4,19,21,3,16,12
34,5,24,9,5,7,11
34,6,40,22,36,30,28
34,7,2,1,6,17,35
34,8,32,38,14,4,23
34,9,5,26,16,10,25
34,10,36,19,31,8,7
34,11,39,30,3,33,27
34,12,24,4,28,1,13
34,13,21,17,38,40,34
34,14,9,18,10,23,11
34,15,32,20,19,35,22
34,16,14,37,29,15,2
34,17,6,5,12,28,10
34,18,39,36,4,21,35
35,1,33,29,20,9,38
35,2,34,12,25,18,14
35,3,1,31,11,37,21
35,4,36,6,15,5,3
35,5,26,22,23,19,17
35,6,2,27,32,16,4
35,7,13,38,30,12,10
35,8,28,35,31,24,18
35,9,29,7,40,6,33
35,10,8,3,17,4,13
35,11,35,15,26,11,27
35,12,7,2,10,20,39
35,13,37,16,38,34,22
35,14,32,23,1,33,24
35,15,25,28,39,40,8
35,16,17,21,14,9,15
35,17,19,32,10,30,5
35,18,2,11,29,36,25
36,1,18,6,2,8,19
36,2,27,24,29,37,30
36,3,22,40,7,25,23
36,4,11,28,33,4,20
36,5,3,34,2,13,26
36,6,31,38,40,27,12
36,7,36,8,21,30,23
36,8,16,15,18,1,28
36,9,9,39,24,22,6
36,10,34,14,35,33,19
36,11,10,36,31,17,32
36,12,38,4,7,3,37
36,13,5,16,18,21,35
36,14,20,1,13,29,36
36,15,8,37,9,32,25
36,16,39,10,14,26,31
36,17,40,13,12,15,17
36,18,3,11,34,23,5
37,1,4,22,17,18,31
37,2,28,7,21,34,32
37,3,15,19,27,12,1
37,4,13,30,5,39,29
37,5,16,20,8,24,6
37,6,26,23,36,9,33
37,7,14,3,38,18,11
37,8,35,2,37,7,10
37,9,21,40,22,25,27
37,10,36,31,34,29,16
37,11,15,5,26,20,38
37,12,22,14,33,8,7
37,13,11,39,17,28,37
37,14,9,40,6,35,30
37,15,24,10,3,19,16
37,16,4,25,8,13,23
37,17,12,1,32,2,14
37,18,38,9,27,36,39
38,1,6,33,25,14,39
38,2,1,27,21,31,8
38,3,37,36,4,12,5
38,4,31,13,6,32,28
38,5,19,26,18,7,29
38,6,28,15,2,3,9
38,7,20,10,13,40,34
38,8,30,32,24,22,11
38,9,23,17,35,38,16
38,10,37,33,25,31,3
38,11,39,12,20,21,32
38,12,40,1,16,14,26
38,13,17,34,24,5,7
38,14,18,22,15,10,36
38,15,35,8,11,29,4
38,16,23,30,28,19,38
38,17,13,16,9,27,2
38,18,24,34,12,6,26
39,1,1,21,9,18,17
39,2,33,2,30,15,34
39,3,25,32,35,36,3
39,4,31,29,38,8,24
39,5,40,13,19,11,37
39,6,27,28,10,23,20
39,7,22,39,1,16,30
39,8,7,5,32,4,14
39,9,12,8,3,17,26
39,10,10,21,11,6,38
39,11,16,37,23,25,15
39,12,5,31,22,2,20
39,13,7,9,19,34,27
39,14,33,18,4,24,40
39,15,25,17,29,10,12
39,16,28,35,26,13,22
39,17,19,37,39,14,36
39,18,29,23,1,3,6
40,1,4,11,7,15,31
40,2,14,26,28,35,21
40,3,34,8,23,40,39
40,4,3,20,30,37,18
40,5,27,33,17,5,2
40,6,10,19,25,1,4
40,7,38,24,13,32,15
40,8,9,12,29,21,22
40,9,30,14,34,23,31
40,10,8,6,16,33,10
40,11,18,19,36,20,13
40,12,32,25,11,2,29
40,13,17,38,35,1,7
40,14,26,4,37,6,27
40,15,40,36,5,28,24
40,16,11,16,31,32,9
40,17,21,7,30,39,13
40,18,12,3,33,22,37
41,1,18,27,40,3,32
41,2,15,10,14,17,23
41,3,2,34,38,36,25
41,4,24,35,27,12,7
41,5,37,30,8,11,16
41,6,9,39,15,4,40
41,7,29,5,2,23,19
41,8,35,1,20,25,33
41,9,31,17,13,26,28
41,10,6,14,27,16,7
41,11,15,22,8,5,34
41,12,25,3,10,24,21
41,13,19,4,12,30,33
41,14,32,29,20,39,28
41,15,13,18,5,11,1
41,16,37,26,31,38,9
41,17,21,40,4,2,6
41,18,36,11,22,10,35
42,1,10,31,18,33,1
42,2,5,20,16,12,25
42,3,23,13,7,37,22
42,4,34,6,35,9,29
42,5,28,21,40,30,3
42,6,17,2,24,4,36
42,7,27,38,14,18,8
42,8,20,15,26,19,11
42,9,1,12,32,39,23
42,10,33,16,13,38,35
42,11,3,24,19,29,22
42,12,32,37,6,17,40
42,13,30,18,20,35,2
42,14,11,28,39,27,34
42,15,26,21,36,8,5
42,16,4,9,2,14,10
42,17,7,25,15,31,30
42,18,22,38,6,28,1
43,1,27,25,34,13,12
43,2,8,30,1,38,19
43,3,6,23,9,5,18
43,4,40,20,24,11,14
43,5,16,29,21,7,4
43,6,39,35,3,17,15
43,7,26,32,33,34,36
43,8,2,28,37,8,10
43,9,22,27,4,23,24
43,10,35,5,31,40,19
43,11,12,7,11,6,18
43,12,25,22,9,20,17
43,13,38,2,39,3,16
43,14,33,31,23,21,15
43,15,10,13,30,26,29
43,16,14,1,37,9,36
43,17,7,33,28,40,12
43,18,16,32,34,22,18
44,1,11,24,1,33,17
44,2,9,7,3,8,13
44,3,14,35,12,22,2
44,4,34,17,28,19,16
44,5,15,29,5,27,33
44,6,24,18,25,26,39
44,7,21,8,32,38,20
44,8,31,12,10,34,40
44,9,23,15,36,30,6
44,10,29,37,14,13,24
44,11,1,26,40,2,7
44,12,36,16,27,20,3
44,13,18,4,22,37,21
44,14,5,14,9,30,28
44,15,19,2,6,31,11
44,16,23,40,8,35,32
44,17,38,29,18,25,15
44,18,17,27,39,10,4
45,1,13,23,2,21,26
45,2,33,39,35,37,5
45,3,30,17,38,29,40
45,4,3,1,15,24,31
45,5,12,9,19,36,21
45,6,6,10,34,7,20
45,7,26,24,37,16,30
45,8,39,11,19,25,22
45,9,16,32,40,15,8
45,10,4,20,26,35,27
45,11,1,34,23,18,37
45,12,17,11,21,3,14
45,13,5,36,7,22,38
45,14,24,6,33,32,9
45,15,15,18,10,28,27
45,16,20,23,16,29,12
45,17,8,13,17,2,31
45,18,4,3,14,28,25
46,1,40,8,23,27,13
46,2,9,10,7,1,32
46,3,31,26,16,14,22
46,4,2,3,20,33,30
46,5,27,6,17,5,19
46,6,29,34,11,4,35
46,7,21,25,38,28,37
46,8,36,12,18,24,39
46,9,8,19,26,7,15
46,10,2,33,40,11,23
46,11,38,14,32,5,3
46,12,30,4,36,6,1
46,13,28,9,18,19,35
46,14,10,16,21,39,13
46,15,25,31,24,34,20
46,16,37,22,29,15,17
46,17,11,38,12,26,9
46,18,7,28,33,16,36
47,1,34,15,11,36,24
47,2,3,26,6,38,23
47,3,13,5,28,12,4
47,4,21,7,30,18,14
47,5,6,36,8,35,25
47,6,20,40,19,9,39
47,7,8,22,29,10,33
47,8,35,31,27,32,37
47,9,14,12,15,2,28
47,10,9,30,17,23,34
47,11,27,36,7,3,29
47,12,16,33,4,40,38
47,13,24,19,5,21,10
47,14,22,27,13,1,11
47,15,32,39,31,29,26
47,16,18,37,3,20,8
47,17,25,16,1,17,2
47,18,15,21,32,20,6
48,1,17,29,14,18,8
48,2,19,4,25,23,32
48,3,26,1,39,34,5
48,4,40,37,36,16,10
48,5,28,11,8,31,30
48,6,14,35,15,13,20
48,7,2,27,38,25,24
48,8,37,8,34,12,6
48,9,4,15,9,31,39
48,10,22,32,10,3,30
48,11,1,5,29,21,40
48,12,20,24,23,7,4
48,13,38,19,33,13,34
48,14,12,9,16,35,3
48,15,39,2,22,6,18
48,16,11,17,25,26,7
48,17,33,21,31,27,14
48,18,35,23,28,36,24
49,1,18,32,13,17,36
49,2,39,14,23,38,19
49,3,10,5,37,11,2
49,4,9,25,30,8,1
49,5,22,40,26,33,34
49,6,29,28,6,20,17
49,7,3,13,24,4,8
49,8,31,39,7,37,19
49,9,5,34,11,21,16
49,10,36,20,14,1,38
49,11,10,30,35,26,27
49,12,4,12,3,18,31
49,13,7,15,21,24,29
49,14,34,28,22,32,2
49,15,13,25,40,14,9
49,16,6,35,16,19,31
49,17,23,3,27,10,11
49,18,30,33,1,15,12
50,1,19,27,2,40,20
50,2,23,7,5,31,25
50,3,34,6,29,14,13
50,4,28,19,15,1,3
50,5,11,36,20,9,8
50,6,16,39,24,22,27
50,7,32,37,30,2,35
50,8,25,3,12,40,26
50,9,18,10,31,38,5
50,10,9,16,17,23,33
50,11,29,11,39,4,35
50,12,8,21,26,27,28
50,13,12,24,32,19,13
50,14,40,38,22,30,7
50,15,1,20,10,6,37
50,16,15,14,5,36,34
50,17,17,18,4,33,21
50,18,7,8,12,39,2
51,1,2,18,25,16,29
51,2,6,38,28,39,21
51,3,19,34,30,20,4
51,4,5,24,37,9,26
51,5,31,40,22,17,3
51,6,25,6,33,7,11
51,7,23,10,35,12,14
51,8,27,1,36,29,32
51,9,18,13,16,11,15
51,10,28,5,4,8,22
51,11,3,35,34,21,1
51,12,13,9,38,7,10
51,13,33,26,19,32,14
51,14,36,39,17,30,12
51,15,38,2,37,27,15
51,16,20,22,21,31,23
51,17,24,35,8,40,18
51,18,32,4,9,15,16
52,1,18,7,35,34,25
52,2,19,29,3,28,9
52,3,13,33,20,5,39
52,4,37,36,12,22,40
52,5,30,11,21,32,25
52,6,8,34,27,14,17
52,7,15,4,10,26,6
52,8,2,23,1,24,31
52,9,7,30,20,16,28
52,10,19,8,36,10,33
52,11,21,1,13,37,12
52,12,32,31,38,29,17
52,13,14,40,39,3,6
52,14,27,22,18,5,9
52,15,26,23,2,4,36
52,16,35,30,24,13,6
52,17,12,17,20,11,38
52,18,16,15,19,25,5
53,1,3,2,11,31,13
53,2,4,17,1,10,7
53,3,33,37,28,23,29
53,4,5,6,12,25,27
53,5,31,21,9,30,36
53,6,37,35,4,19,38
53,7,1,16,8,15,26
53,8,24,7,32,28,10
53,9,21,19,13,17,22
53,10,11,14,29,40,4
53,11,39,20,18,26,23
53,12,6,15,33,22,35
53,13,38,9,34,2,8
53,14,14,30,27,24,16
53,15,20,29,26,12,7
53,16,32,18,3,33,5
53,17,39,10,40,34,1
53,18,35,28,25,36,22
54,1,28,34,31,10,11
54,2,30,38,23,36,18
54,3,4,32,2,20,9
54,4,22,25,14,1,37
54,5,17,16,5,35,40
54,6,27,3,7,24,33
54,7,10,8,29,12,30
54,8,36,13,39,34,32
54,9,21,31,6,18,19
54,10,22,12,15,28,20
54,11,17,26,24,13,2
54,12,1,19,7,8,3
54,13,5,4,14,6,30
54,14,29,27,35,23,38
54,15,34,7,16,37,17
54,16,40,10,15,39,25
54,17,26,33,11,9,21
54,18,37,32,8,6,24
55,1,11,40,23,6,7
55,2,39,37,28,17,33
55,3,25,20,8,13,21
55,4,38,27,34,4,15
55,5,12,18,1,9,24
55,6,10,22,32,14,19
55,7,29,36,26,16,3
55,8,5,2,30,35,31
55,9,40,13,9,15,37
55,10,25,11,27,32,28
55,11,3,17,36,10,20
55,12,30,26,18,19,34
55,13,23,5,29,1,39
55,14,8,31,4,33,35
55,15,6,24,38,11,22
55,16,14,12,2,21,16
55,17,17,25,19,37,23
55,18,31,38,13,7,26
56,1,11,19,38,3,12
56,2,26,32,17,5,40
56,3,2,33,10,18,13
56,4,9,6,31,27,1
56,5,16,28,25,38,4
56,6,15,35,11,39,14
